epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,940.926,1.68299,3.37791,1.75601,0.49564,0.16494,0.08192,0.03294,1.88334,3.45703,2.3268,0.000158567,0.000158567,0.000158567
2,1847.19,1.21772,2.4299,1.40435,0.55313,0.24651,0.16102,0.06773,1.77954,2.87889,2.21762,0.000306765,0.000306765,0.000306765
3,2954.17,1.14988,2.22162,1.36358,0.37706,0.29296,0.17873,0.08751,1.72203,2.60257,2.09057,0.000444491,0.000444491,0.000444491
4,3852.5,1.09726,2.08534,1.32748,0.40169,0.34862,0.25719,0.1308,1.60063,2.41979,1.98407,0.000428876,0.000428876,0.000428876
5,4749.49,1.0562,1.97607,1.30161,0.54167,0.28687,0.28213,0.15158,1.52002,2.2744,1.93799,0.000413168,0.000413168,0.000413168
6,5649.7,1.03207,1.88605,1.2904,0.37351,0.33534,0.25445,0.13256,1.51757,2.35394,1.9447,0.00039746,0.00039746,0.00039746
7,6556.13,1.00182,1.80284,1.27003,0.44869,0.34549,0.33181,0.18477,1.43666,2.05763,1.83251,0.000381752,0.000381752,0.000381752
8,7458.17,0.97854,1.73825,1.25435,0.4651,0.42698,0.36703,0.21009,1.33297,1.97016,1.77155,0.000366044,0.000366044,0.000366044
9,8350.75,0.96056,1.68013,1.24348,0.60365,0.37454,0.37511,0.21083,1.38896,1.93562,1.82095,0.000350336,0.000350336,0.000350336
10,9244.12,0.94069,1.62837,1.23101,0.44821,0.45759,0.43971,0.26186,1.37645,1.82232,1.81105,0.000334628,0.000334628,0.000334628
11,10135.3,0.92757,1.58022,1.22006,0.53833,0.48875,0.42527,0.25647,1.34124,1.83981,1.80291,0.00031892,0.00031892,0.00031892
12,11025.7,0.9121,1.53395,1.21191,0.54416,0.44741,0.43679,0.27194,1.29296,1.72657,1.69133,0.000303212,0.000303212,0.000303212
13,11918.7,0.89974,1.48872,1.20376,0.60277,0.48519,0.49941,0.31171,1.29496,1.68355,1.71081,0.000287504,0.000287504,0.000287504
14,12812.1,0.88091,1.44443,1.18996,0.56889,0.55717,0.52192,0.32399,1.27109,1.63001,1.73276,0.000271796,0.000271796,0.000271796
15,13702.7,0.87357,1.41013,1.18464,0.53852,0.45963,0.49023,0.30452,1.25475,1.6759,1.69595,0.000256088,0.000256088,0.000256088
16,14595.4,0.85414,1.36995,1.17342,0.65765,0.47049,0.5249,0.3383,1.21428,1.67308,1.67373,0.00024038,0.00024038,0.00024038
17,15487.9,0.84763,1.34638,1.17095,0.69819,0.46824,0.53188,0.31997,1.23921,1.55298,1.68992,0.000224672,0.000224672,0.000224672
18,16380.8,0.83342,1.29933,1.15803,0.46332,0.57626,0.53037,0.33531,1.20366,1.54141,1.63356,0.000208964,0.000208964,0.000208964
19,17276.9,0.82314,1.27094,1.15242,0.72142,0.46212,0.54849,0.34325,1.19937,1.62425,1.6357,0.000193256,0.000193256,0.000193256
20,34459.9,0.81416,1.24155,1.14729,0.63803,0.55872,0.55763,0.3592,1.17768,1.4699,1.61379,0.000177548,0.000177548,0.000177548
21,35660.9,0.81161,1.0925,1.15265,0.68812,0.50126,0.55917,0.36961,1.16386,1.45542,1.61951,0.00016184,0.00016184,0.00016184
22,36534.3,0.79525,1.03856,1.14077,0.56514,0.56947,0.5862,0.38849,1.13249,1.41432,1.57189,0.000146132,0.000146132,0.000146132
23,42391,0.77928,1.00847,1.13486,0.78182,0.47607,0.58836,0.39378,1.12189,1.3046,1.56387,0.000130424,0.000130424,0.000130424
24,44168.8,0.76646,0.97155,1.12088,0.61463,0.63825,0.60131,0.39955,1.12333,1.30663,1.57403,0.000114716,0.000114716,0.000114716
25,45038.1,0.75225,0.94421,1.1159,0.58459,0.6465,0.60888,0.41416,1.08628,1.27696,1.53419,9.9008e-05,9.9008e-05,9.9008e-05
26,45911.2,0.73761,0.90967,1.10551,0.58192,0.60027,0.65083,0.43905,1.0823,1.25635,1.54308,8.33e-05,8.33e-05,8.33e-05
27,46781.9,0.72937,0.88623,1.09938,0.70865,0.6099,0.66396,0.45204,1.06867,1.17449,1.52439,6.7592e-05,6.7592e-05,6.7592e-05
28,47651.1,0.71964,0.86145,1.09466,0.68293,0.61567,0.66285,0.45561,1.05947,1.18172,1.51747,5.1884e-05,5.1884e-05,5.1884e-05
29,48521.4,0.70882,0.84058,1.08875,0.65396,0.62577,0.64976,0.43994,1.05408,1.20146,1.52055,3.6176e-05,3.6176e-05,3.6176e-05
30,49855.7,0.69884,0.82027,1.07938,0.67768,0.63792,0.65809,0.44991,1.05183,1.17387,1.51981,2.0468e-05,2.0468e-05,2.0468e-05
